 Comb. , Elem. , Sect. , N , Vy , Vz , T , My , Mz 
ELU01, 1, 0, 0.0, -0.0, -1.65100573213e-08, 0.0, -367896.624529, -0.0
ELU01, 1, 1, 0.0, 0.0, 11587.2952608, 0.0, -366572.196681, 0.0
ELU01, 2, 0, 0.0, -0.0, 11587.2952606, 0.0, -366572.196681, -0.0
ELU01, 2, 1, 0.0, 0.0, 23174.5905214, 0.0, -362598.913136, 0.0
ELU01, 3, 0, 0.0, -0.0, 23174.5905216, 0.0, -362598.913136, -0.0
ELU01, 3, 1, 0.0, 0.0, 34761.8857824, 0.0, -355976.773895, 0.0
ELU01, 4, 0, 0.0, -0.0, 34761.8857822, 0.0, -355976.773895, -0.0
ELU01, 4, 1, 0.0, 0.0, 46349.1810429, 0.0, -346705.778956, 0.0
ELU01, 5, 0, 0.0, -0.0, 46349.1810434, 0.0, -346705.778956, -0.0
ELU01, 5, 1, 0.0, 0.0, 57936.4763042, 0.0, -334785.928322, 0.0
ELU01, 6, 0, 0.0, -0.0, 57936.4763039, 0.0, -334785.928322, -0.0
ELU01, 6, 1, 0.0, 0.0, 69523.7715647, 0.0, -320217.22199, 0.0
ELU01, 7, 0, 0.0, -0.0, 69523.7715648, 0.0, -320217.22199, -0.0
ELU01, 7, 1, 0.0, 0.0, 81111.0668255, 0.0, -302999.659962, 0.0
ELU01, 8, 0, 0.0, -0.0, 81111.0668256, 0.0, -302999.659962, -0.0
ELU01, 8, 1, 0.0, 0.0, 92698.3620863, 0.0, -283133.242238, 0.0
ELU01, 9, 0, 0.0, -0.0, 92698.3620864, 0.0, -283133.242238, -0.0
ELU01, 9, 1, 0.0, 0.0, 104285.657347, 0.0, -260617.968816, 0.0
ELU01, 10, 0, 0.0, -0.0, 104285.657347, 0.0, -260617.968816, -0.0
ELU01, 10, 1, 0.0, 0.0, 115872.952608, 0.0, -235453.839698, 0.0
ELU01, 12, 0, 0.0, -0.0, 115872.952607, 0.0, -235453.839698, -0.0
ELU01, 12, 1, 0.0, 0.0, 126908.471903, 0.0, -209025.347487, 0.0
ELU01, 13, 0, 0.0, -0.0, 126908.471903, 0.0, -209025.347487, -0.0
ELU01, 13, 1, 0.0, 0.0, 137943.991199, 0.0, -180194.265075, 0.0
ELU01, 14, 0, 0.0, -0.0, 137943.991199, 0.0, -180194.265075, -0.0
ELU01, 14, 1, 0.0, 0.0, 148979.510495, 0.0, -148960.592462, 0.0
ELU01, 15, 0, 0.0, -0.0, 148979.510495, 0.0, -148960.592462, -0.0
ELU01, 15, 1, 0.0, 0.0, 160015.029791, 0.0, -115324.329648, 0.0
ELU01, 16, 0, 0.0, -0.0, 160015.029791, 0.0, -115324.329648, -0.0
ELU01, 16, 1, 0.0, 0.0, 171050.549087, 0.0, -79285.4766332, 0.0
ELU01, 17, 0, 0.0, -0.0, 171050.549087, 0.0, -79285.4766332, -0.0
ELU01, 17, 1, 0.0, 0.0, 182086.068383, 0.0, -40844.0334171, 0.0
ELU01, 18, 0, 0.0, -0.0, 182086.068383, 0.0, -40844.0334171, -0.0
ELU01, 18, 1, 0.0, 0.0, 193121.587679, 0.0, -7.62014451539e-10, 0.0
ELU01, 20, 0, -200520.951691, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 20, 1, -199904.338021, 0.0, 0.0, 0.0, 0.0, 0.0
ELU01, 21, 0, -199904.338021, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 21, 1, -199287.72435, 0.0, 0.0, 0.0, 0.0, 0.0
ELU01, 22, 0, -199287.72435, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 22, 1, -198671.110679, 0.0, 0.0, 0.0, 0.0, 0.0
ELU01, 23, 0, -198671.110679, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 23, 1, -198054.497008, 0.0, 0.0, 0.0, 0.0, 0.0
ELU01, 24, 0, -198054.497008, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 24, 1, -197437.883338, 0.0, 0.0, 0.0, 0.0, 0.0
ELU01, 25, 0, -197437.883338, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 25, 1, -196821.269667, 0.0, 0.0, 0.0, 0.0, 0.0
ELU01, 26, 0, -196821.269667, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 26, 1, -196204.655996, 0.0, 0.0, 0.0, 0.0, 0.0
ELU01, 27, 0, -196204.655996, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 27, 1, -195588.042325, 0.0, 0.0, 0.0, 0.0, 0.0
ELU01, 28, 0, -195588.042325, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 28, 1, -194971.428655, 0.0, 0.0, 0.0, 0.0, 0.0
ELU01, 29, 0, -194971.428655, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 29, 1, -194354.814984, 0.0, 0.0, 0.0, 0.0, 0.0
ELU01, 30, 0, -194354.814984, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 30, 1, -193738.201313, 0.0, 0.0, 0.0, 0.0, 0.0
ELU01, 31, 0, -193738.201313, -0.0, 0.0, 0.0, -0.0, -0.0
ELU01, 31, 1, -193121.587642, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 1, 0, 0.0, -0.0, -2.23320057557e-07, 0.0, -507137.765559, -0.0
ELU02, 1, 1, 0.0, 0.0, 15972.8430095, 0.0, -505312.069603, 0.0
ELU02, 2, 0, 0.0, -0.0, 15972.8430095, 0.0, -505312.069603, -0.0
ELU02, 2, 1, 0.0, 0.0, 31945.6860193, 0.0, -499834.981735, 0.0
ELU02, 3, 0, 0.0, -0.0, 31945.6860195, 0.0, -499834.981735, -0.0
ELU02, 3, 1, 0.0, 0.0, 47918.5290293, 0.0, -490706.501955, 0.0
ELU02, 4, 0, 0.0, -0.0, 47918.5290295, 0.0, -490706.501955, -0.0
ELU02, 4, 1, 0.0, 0.0, 63891.3720393, 0.0, -477926.630263, 0.0
ELU02, 5, 0, 0.0, -0.0, 63891.3720393, 0.0, -477926.630263, -0.0
ELU02, 5, 1, 0.0, 0.0, 79864.215049, 0.0, -461495.366659, 0.0
ELU02, 6, 0, 0.0, -0.0, 79864.215049, 0.0, -461495.366659, -0.0
ELU02, 6, 1, 0.0, 0.0, 95837.0580587, 0.0, -441412.711142, 0.0
ELU02, 7, 0, 0.0, -0.0, 95837.0580586, 0.0, -441412.711142, -0.0
ELU02, 7, 1, 0.0, 0.0, 111809.901068, 0.0, -417678.663714, 0.0
ELU02, 8, 0, 0.0, -0.0, 111809.901069, 0.0, -417678.663714, -0.0
ELU02, 8, 1, 0.0, 0.0, 127782.744078, 0.0, -390293.224374, 0.0
ELU02, 9, 0, 0.0, -0.0, 127782.744078, 0.0, -390293.224374, -0.0
ELU02, 9, 1, 0.0, 0.0, 143755.587088, 0.0, -359256.393122, 0.0
ELU02, 10, 0, 0.0, -0.0, 143755.587088, 0.0, -359256.393122, -0.0
ELU02, 10, 1, 0.0, 0.0, 159728.430097, 0.0, -324568.169957, 0.0
ELU02, 12, 0, 0.0, -0.0, 159728.430097, 0.0, -324568.169957, -0.0
ELU02, 12, 1, 0.0, 0.0, 174940.661535, 0.0, -288137.04884, 0.0
ELU02, 13, 0, 0.0, -0.0, 174940.661535, 0.0, -288137.04884, -0.0
ELU02, 13, 1, 0.0, 0.0, 190152.892973, 0.0, -248394.00762, 0.0
ELU02, 14, 0, 0.0, -0.0, 190152.892973, 0.0, -248394.007621, -0.0
ELU02, 14, 1, 0.0, 0.0, 205365.124411, 0.0, -205339.0463, 0.0
ELU02, 15, 0, 0.0, -0.0, 205365.124411, 0.0, -205339.0463, -0.0
ELU02, 15, 1, 0.0, 0.0, 220577.355848, 0.0, -158972.164877, 0.0
ELU02, 16, 0, 0.0, -0.0, 220577.355848, 0.0, -158972.164877, -0.0
ELU02, 16, 1, 0.0, 0.0, 235789.587286, 0.0, -109293.363353, 0.0
ELU02, 17, 0, 0.0, -0.0, 235789.587286, 0.0, -109293.363353, -0.0
ELU02, 17, 1, 0.0, 0.0, 251001.818724, 0.0, -56302.6417273, 0.0
ELU02, 18, 0, 0.0, -0.0, 251001.818724, 0.0, -56302.6417273, -0.0
ELU02, 18, 1, 0.0, 0.0, 266214.050162, 0.0, -4.15650447394e-09, 0.0
ELU02, 20, 0, -272556.362514, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 20, 1, -272027.83648, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 21, 0, -272027.83648, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 21, 1, -271499.310447, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 22, 0, -271499.310447, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 22, 1, -270970.784413, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 23, 0, -270970.784413, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 23, 1, -270442.25838, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 24, 0, -270442.25838, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 24, 1, -269913.732346, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 25, 0, -269913.732346, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 25, 1, -269385.206313, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 26, 0, -269385.206313, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 26, 1, -268856.680279, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 27, 0, -268856.680279, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 27, 1, -268328.154246, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 28, 0, -268328.154246, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 28, 1, -267799.628212, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 29, 0, -267799.628212, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 29, 1, -267271.102179, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 30, 0, -267271.102179, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 30, 1, -266742.576145, 0.0, 0.0, 0.0, 0.0, 0.0
ELU02, 31, 0, -266742.576145, -0.0, 0.0, 0.0, -0.0, -0.0
ELU02, 31, 1, -266214.050112, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 1, 0, 0.0, -0.0, -5.39048414794e-08, 0.0, -492514.507844, -0.0
ELU03, 1, 1, 0.0, 0.0, 15512.2679636, 0.0, -490741.455616, 0.0
ELU03, 2, 0, 0.0, -0.0, 15512.2679638, 0.0, -490741.455616, -0.0
ELU03, 2, 1, 0.0, 0.0, 31024.5359274, 0.0, -485422.298931, 0.0
ELU03, 3, 0, 0.0, -0.0, 31024.5359273, 0.0, -485422.298931, -0.0
ELU03, 3, 1, 0.0, 0.0, 46536.8038909, 0.0, -476557.03779, 0.0
ELU03, 4, 0, 0.0, -0.0, 46536.8038911, 0.0, -476557.03779, -0.0
ELU03, 4, 1, 0.0, 0.0, 62049.0718547, 0.0, -464145.672192, 0.0
ELU03, 5, 0, 0.0, -0.0, 62049.0718543, 0.0, -464145.672192, -0.0
ELU03, 5, 1, 0.0, 0.0, 77561.339818, 0.0, -448188.202138, 0.0
ELU03, 6, 0, 0.0, -0.0, 77561.3398182, 0.0, -448188.202138, -0.0
ELU03, 6, 1, 0.0, 0.0, 93073.6077818, 0.0, -428684.627627, 0.0
ELU03, 7, 0, 0.0, -0.0, 93073.6077818, 0.0, -428684.627627, -0.0
ELU03, 7, 1, 0.0, 0.0, 108585.875745, 0.0, -405634.94866, 0.0
ELU03, 8, 0, 0.0, -0.0, 108585.875745, 0.0, -405634.94866, -0.0
ELU03, 8, 1, 0.0, 0.0, 124098.143709, 0.0, -379039.165236, 0.0
ELU03, 9, 0, 0.0, -0.0, 124098.143709, 0.0, -379039.165236, -0.0
ELU03, 9, 1, 0.0, 0.0, 139610.411672, 0.0, -348897.277356, 0.0
ELU03, 10, 0, 0.0, -0.0, 139610.411672, 0.0, -348897.277356, -0.0
ELU03, 10, 1, 0.0, 0.0, 155122.679636, 0.0, -315209.28502, 0.0
ELU03, 12, 0, 0.0, -0.0, 155122.679635, 0.0, -315209.28502, -0.0
ELU03, 12, 1, 0.0, 0.0, 169896.268172, 0.0, -279828.650987, 0.0
ELU03, 13, 0, 0.0, -0.0, 169896.268172, 0.0, -279828.650987, -0.0
ELU03, 13, 1, 0.0, 0.0, 184669.856709, 0.0, -241231.595678, 0.0
ELU03, 14, 0, 0.0, -0.0, 184669.856709, 0.0, -241231.595678, -0.0
ELU03, 14, 1, 0.0, 0.0, 199443.445246, 0.0, -199418.119094, 0.0
ELU03, 15, 0, 0.0, -0.0, 199443.445246, 0.0, -199418.119094, -0.0
ELU03, 15, 1, 0.0, 0.0, 214217.033783, 0.0, -154388.221234, 0.0
ELU03, 16, 0, 0.0, -0.0, 214217.033783, 0.0, -154388.221234, -0.0
ELU03, 16, 1, 0.0, 0.0, 228990.622319, 0.0, -106141.902098, 0.0
ELU03, 17, 0, 0.0, -0.0, 228990.622319, 0.0, -106141.902099, -0.0
ELU03, 17, 1, 0.0, 0.0, 243764.210856, 0.0, -54679.1616871, 0.0
ELU03, 18, 0, 0.0, -0.0, 243764.210856, 0.0, -54679.1616871, -0.0
ELU03, 18, 1, 0.0, 0.0, 258537.799393, 0.0, -7.98820565251e-10, 0.0
ELU03, 20, 0, -264880.111746, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 20, 1, -264351.585712, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 21, 0, -264351.585712, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 21, 1, -263823.059679, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 22, 0, -263823.059679, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 22, 1, -263294.533645, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 23, 0, -263294.533645, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 23, 1, -262766.007612, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 24, 0, -262766.007612, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 24, 1, -262237.481578, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 25, 0, -262237.481578, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 25, 1, -261708.955545, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 26, 0, -261708.955545, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 26, 1, -261180.429511, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 27, 0, -261180.429511, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 27, 1, -260651.903478, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 28, 0, -260651.903478, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 28, 1, -260123.377444, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 29, 0, -260123.377444, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 29, 1, -259594.851411, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 30, 0, -259594.851411, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 30, 1, -259066.325377, 0.0, 0.0, 0.0, 0.0, 0.0
ELU03, 31, 0, -259066.325377, -0.0, 0.0, 0.0, -0.0, -0.0
ELU03, 31, 1, -258537.799344, 0.0, 0.0, 0.0, 0.0, 0.0
